condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A5_plug_mem_hook,s1,,kgdExperimentValidation,0.2871,success,False,270.7,20,0,33,0.2660523
A5_plug_mem_hook,s1,,pknViscosityDominated,0.2824,success,False,178.4,13,0,19,0.1109529
A5_plug_mem_hook,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.9896,success,False,192.5,10,0,19,0.14570345999999998
A5_plug_mem_hook,s2,,AdvancedExampleDeviatedElasticWellbore,1.0,success,False,88.3,5,0,10,0.047638440000000004
A5_plug_mem_hook,s2,,AdvancedExampleDruckerPrager,0.9983,success,False,233.0,6,0,29,0.1680972
A5_plug_mem_hook,s2,,AdvancedExampleExtendedDruckerPrager,0.0,success,False,356.9,12,0,28,0.22432194
A5_plug_mem_hook,s2,,AdvancedExampleModifiedCamClay,1.0,success,False,79.1,5,0,11,0.06378642
A5_plug_mem_hook,s2,,AdvancedExampleViscoDruckerPrager,0.9514,success,False,121.5,8,0,12,0.07640051999999999
A5_plug_mem_hook,s2,,ExampleDPWellbore,1.0,success,False,134.5,6,0,14,0.06692634
A5_plug_mem_hook,s2,,ExampleEDPWellbore,0.8516,success,False,429.8,18,0,31,0.34595118
A5_plug_mem_hook,s2,,ExampleIsothermalLeakyWell,0.9294,success,False,211.1,6,0,11,0.07664652
A5_plug_mem_hook,s2,,ExampleMandel,0.3121,success,False,192.1,12,0,20,0.15382062000000002
A5_plug_mem_hook,s2,,ExampleThermalLeakyWell,0.9641,success,False,220.2,19,0,26,0.19363188000000003
A5_plug_mem_hook,s2,,ExampleThermoporoelasticConsolidation,0.3095,success,False,296.6,14,0,23,0.19993229999999998
A5_plug_mem_hook,s2,,TutorialPoroelasticity,0.7192,success,False,187.2,8,0,20,0.14916323999999997
A5_plug_mem_hook,s2,,TutorialSneddon,0.0,success,False,392.9,32,0,55,0.6074767799999998
A5_plug_mem_hook,s2,,buckleyLeverettProblem,0.9611,success,False,172.3,15,0,22,0.10793214
A5_plug_mem_hook,s2,,kgdExperimentValidation,1.0,success,False,220.1,15,0,23,0.1586013
A5_plug_mem_hook,s2,,pknViscosityDominated,0.4133,success,False,497.7,23,0,38,0.47965356000000003
A5_plug_mem_hook,s3,,AdvancedExampleCasedContactThermoElasticWellbore,1.0,success,False,481.5,17,0,34,0.37387422000000003
A5_plug_mem_hook,s3,,AdvancedExampleDeviatedElasticWellbore,0.9832,success,False,429.1,10,0,29,0.24989957999999995
A5_plug_mem_hook,s3,,AdvancedExampleDruckerPrager,0.3594,timeout,False,1200.0,10,0,19,0.22394682
A5_plug_mem_hook,s3,,AdvancedExampleExtendedDruckerPrager,0.9854,success,False,166.7,6,0,17,0.08607288000000002
